"state","acq_date","cumu_sum","rank","next_val"
"Western Australia",2019-12-11,12360,3,12475
"Queensland",2019-12-11,10677,4,10794
"South Australia",2019-12-11,890,5,896
"New South Wales",2019-12-12,26253,1,26272
"Northern Territory",2019-12-12,13176,2,13222
"Western Australia",2019-12-12,12475,3,12743
"Queensland",2019-12-12,10794,4,10908
"Victoria",2019-12-12,441,5,445
"Tasmania",2019-12-12,134,6,136
"New South Wales",2019-12-13,26272,1,26620
"Northern Territory",2019-12-13,13222,2,13255
"Western Australia",2019-12-13,12743,3,13336
"Queensland",2019-12-13,10908,4,11240
"Victoria",2019-12-13,445,5,448
"New South Wales",2019-12-14,26620,1,27083
"Western Australia",2019-12-14,13336,2,13929
"Northern Territory",2019-12-14,13255,3,13446
"Queensland",2019-12-14,11240,4,11394
"Victoria",2019-12-14,448,5,462
"New South Wales",2019-12-15,27083,1,27812
"Western Australia",2019-12-15,13929,2,14163
